"Cytoscape","Cy.Betweenness","Coding","Co.Betweenness"
"P62988",0.297632369771616,"P62988",0.194775516879
"P04637",0.0772990418869184,"P04637",0.0700973585527
"P10275",0.0489639706522673,"P10275",0.0352059976044
"P35222",0.0418052020974259,"P07900",0.0328521479789
"P21333",0.0349914856933425,"P35222",0.0315857477098
"P00533",0.0280402123900074,"P00533",0.0277016293649
"P01375",0.0226537739029738,"P21333",0.0272702398601
"P31749",0.022563879605181,"P25963",0.0196932254037
"Q03135",0.0206570503172939,"P01375",0.0171523608548
"P24385",0.0206366734425067,"Q9Y4K3",0.016938068539
